t-SNE1,t-SNE2,Label
18.96249,17.391022,1
0.36365685,27.194515,0
13.823377,17.078459,1
-7.2350316,10.735246,3
6.528256,-33.203186,1
12.791639,2.1509778,3
-5.396169,1.1624287,3
10.64356,-16.093641,1
-1.712379,16.69348,3
19.90346,-1.9374967,1
3.8757622,3.2910473,3
1.998719,-11.43954,3
30.816511,-5.480024,3
-3.6085126,10.278432,3
19.690704,10.088505,2
10.7624855,0.55052996,2
25.08111,21.886032,3
-17.187407,-14.628836,3
-3.0195932,-21.835281,2
4.050427,13.8192,1
-13.195799,-19.418806,3
14.524091,1.4470897,1
10.616899,3.0042777,3
23.368351,10.500803,3
-10.557058,-20.24499,1
-9.093905,18.015265,1
30.965517,12.94783,1
-24.876305,-3.0467396,3
-16.099682,-22.893793,2
5.007435,-7.5275226,0
-18.001509,14.484056,1
-29.794624,-7.846669,1
5.0294166,20.850395,1
-15.443587,10.725681,3
13.4430685,27.712181,3
-17.874311,22.676105,3
13.591698,-10.338235,0
-13.224063,-32.19288,3
7.464856,-13.876179,2
-18.56459,-3.8668041,1
9.899699,-28.617626,0
-3.8637235,-5.393523,0
7.4103794,22.047081,3
6.017059,-20.74071,0
22.45908,16.402029,3
25.22132,5.338795,1
-4.626849,-24.94414,2
-7.159716,-3.650429,0
-5.659633,0.70738965,3
7.2790546,4.664826,2
14.86798,-28.198948,1
6.687365,-29.69058,3
14.6454,-32.111217,0
4.357557,22.698524,2
-6.0563855,-3.6975837,3
-13.291194,1.1314912,0
-1.7166128,-5.858267,3
-23.840462,-11.882277,3
19.904985,-17.598515,1
-10.299065,-0.83065486,3
-9.253048,-21.14402,2
-20.897097,15.779369,3
-8.082788,20.536089,1
-12.241263,-9.9224,1
16.212675,-8.541554,0
3.179012,10.87529,0
-32.218754,9.303374,3
13.142459,22.65883,1
-7.064573,-20.225845,2
1.8774543,7.2701616,3
1.0265988,1.8426158,0
20.635504,-6.8352017,0
-6.414775,28.065722,1
-16.89371,20.949467,1
4.3138304,18.367846,0
-20.774536,-14.976143,0
-12.154016,-15.06463,2
-0.35108945,-28.253534,3
19.000315,2.904096,2
-19.72874,-24.92671,2
8.784498,1.7094557,0
3.8517544,0.9596762,1
-26.884373,2.8558373,1
8.612218,-5.781006,2
1.9572862,-32.789375,3
8.3941,-18.815443,2
2.1320763,4.5805044,3
-14.7411375,26.56317,0
-8.1751995,-16.09457,3
4.5055847,-18.24965,2
-9.579116,21.616219,2
-18.088009,17.318775,3
2.7743638,6.5954833,1
14.989631,23.635077,3
-8.667462,-11.176687,2
5.768629,9.643885,3
-6.176275,12.816415,0
-18.221888,-24.563969,3
-4.971231,-0.5621777,0
-13.8741455,17.695358,1
23.403389,1.8988824,2
-5.264864,17.4676,0
25.84342,-14.958767,3
-8.618207,30.802639,0
-6.348738,8.790686,3
-9.300261,-25.368963,2
-14.992785,23.485703,3
11.351658,24.4575,3
23.722473,-13.677188,2
-2.002505,27.586212,3
0.3637369,-1.2428815,3
-32.30126,-6.001038,0
-8.25557,-23.107796,2
-34.475,5.6682553,3
-8.419008,9.426086,1
25.316166,12.904614,3
30.552738,-9.351289,1
15.173665,-25.635744,3
-3.7568738,-9.02849,2
-2.6203518,-10.88086,1
-31.5691,-6.466839,2
-11.112986,17.362844,1
-23.145857,0.47267705,3
-9.021805,27.3836,1
-11.2400465,-20.175667,2
-3.7782767,-2.4932475,0
-11.855613,12.308019,1
35.514366,-0.2521346,2
-15.815131,-15.266498,3
-20.228573,-13.252398,3
-8.669458,3.5234334,0
19.949423,-16.175993,0
-21.224989,3.406806,3
-2.0756335,-34.8082,3
3.70483,-13.768353,3
-18.382711,24.775284,3
23.96924,6.12388,3
-3.7312832,6.941563,1
18.449736,0.48637846,1
6.7247887,29.892092,2
5.8372808,-13.705091,2
1.2425336,-15.013795,0
14.722735,10.009287,3
12.997009,-18.075653,3
19.10704,-8.647159,2
24.792715,-9.646007,2
-26.608006,3.105023,3
-16.54433,-13.208234,2
14.152346,-9.3289995,3
26.888014,7.3893614,3
-7.45965,-16.156525,1
-6.484809,-25.29037,2
-6.5056133,30.435833,1
4.063148,17.234985,3
-2.4315217,-13.227368,1
-22.472647,3.3875072,0
13.209196,-18.874874,0
14.081215,-29.301317,0
18.388405,-8.215036,1
-23.879673,8.032824,2
-25.061935,-13.545901,1
-25.600023,-6.7934504,3
-24.822895,-16.269945,3
25.345345,-2.652304,3
17.237164,-15.423775,1
13.4844055,28.661184,1
17.902485,2.9832017,0
-4.968292,32.88493,3
-11.2474575,10.655046,3
25.464735,8.799396,1
28.850792,12.514633,1
-9.610903,17.536293,3
-0.14210165,-7.2643037,3
-17.309242,19.634808,1
2.809781,-2.5986974,3
-0.5337496,-35.411736,3
3.5750523,-16.060133,1
21.83825,20.72148,3
-17.921505,19.449467,0
-21.622501,18.651726,3
3.9888234,-17.988823,3
20.31732,-10.233425,2
14.641185,-2.7862732,3
4.208214,35.12186,2
17.661375,23.882648,3
16.630163,24.940203,3
